endpoint_id,total_events,threats_found,threats_cleaned,scan_duration,cpu_usage_avg,false_positive
endpoint_0,20,151.0,97.0,787.85,19.097,0
endpoint_10,12,253.0,208.0,1254.9166666666667,26.016666666666666,0
endpoint_10000,21,244.0,219.0,1009.6190476190476,21.726666666666667,0
endpoint_10002,9,77.0,128.0,725.8888888888889,24.082222222222224,0
endpoint_1001,16,126.0,183.0,877.375,24.200625,0
endpoint_10010,11,171.0,131.0,985.4545454545455,28.293636363636367,0
endpoint_10014,8,114.0,64.0,105.625,23.33625,0
endpoint_10015,12,258.0,141.0,792.4166666666666,34.4975,0
endpoint_10018,4,44.0,21.0,709.75,20.5825,0
endpoint_10019,11,92.0,107.0,679.5454545454545,15.95818181818182,0
endpoint_1002,11,96.0,127.0,768.9090909090909,21.509090909090908,0
endpoint_10021,9,145.0,64.0,613.7777777777778,31.559999999999995,0
endpoint_10022,13,107.0,92.0,872.5384615384615,23.740000000000002,0
endpoint_10023,13,103.0,62.0,612.6923076923077,20.94,0
endpoint_10024,9,173.0,124.0,1133.7777777777778,26.63222222222222,0
endpoint_10025,10,174.0,75.0,642.3,13.428999999999998,0
endpoint_10026,8,102.0,105.0,704.75,34.435,0
endpoint_10027,9,83.0,40.0,418.8888888888889,7.833333333333333,0
endpoint_10031,14,139.0,96.0,928.7142857142857,26.429285714285715,0
endpoint_10033,5,34.0,44.0,349.6,20.656,0
endpoint_10035,21,215.0,217.0,296.6666666666667,23.02904761904762,0
endpoint_10038,8,21.0,17.0,474.5,6.07125,0
endpoint_1004,9,76.0,147.0,1136.3333333333333,25.813333333333333,0
endpoint_10041,11,177.0,112.0,1034.1818181818182,26.467272727272725,0
endpoint_10042,19,220.0,135.0,776.6315789473684,15.32421052631579,0
endpoint_10052,9,106.0,82.0,530.1111111111111,24.78222222222222,0
endpoint_10054,48,436.0,383.0,637.0833333333334,20.331041666666668,0
endpoint_10055,12,138.0,130.0,869.8333333333334,29.21666666666667,0
endpoint_10056,6,4.0,9.0,152.33333333333334,8.928333333333333,0
endpoint_10057,9,0.0,0.0,0.0,0.0,0
endpoint_10058,9,133.0,104.0,1307.111111111111,31.172222222222224,0
endpoint_10059,8,22.0,42.0,171.375,9.725,0
endpoint_10063,10,80.0,83.0,1441.7,24.517,0
endpoint_10064,13,59.0,87.0,462.9230769230769,24.686153846153843,0
endpoint_10065,10,217.0,122.0,677.5,19.464000000000002,0
endpoint_10070,9,98.0,106.0,828.8888888888889,13.32,0
endpoint_10072,9,14.0,40.0,290.77777777777777,5.102222222222222,0
endpoint_10075,10,47.0,66.0,161.4,6.243,0
endpoint_10077,10,157.0,81.0,586.0,14.636999999999997,0
endpoint_10079,14,131.0,125.0,456.7857142857143,17.225,0
endpoint_1008,9,139.0,131.0,703.0,19.788888888888888,0
endpoint_10080,5,35.0,45.0,682.6,10.024,0
endpoint_10086,8,49.0,54.0,685.125,11.83625,0
endpoint_1009,7,86.0,46.0,650.5714285714286,24.117142857142856,0
endpoint_10090,9,113.0,98.0,821.5555555555555,11.655555555555557,0
endpoint_10091,9,69.0,27.0,720.1111111111111,12.773333333333333,0
endpoint_10094,16,168.0,185.0,612.375,22.89375,0
endpoint_10095,20,182.0,125.0,707.4,14.342000000000002,0
endpoint_10097,11,83.0,9.0,175.45454545454547,5.385454545454545,0
endpoint_10098,19,200.0,322.0,1112.2631578947369,36.91421052631579,0
endpoint_10099,9,145.0,119.0,884.4444444444445,24.967777777777776,0
endpoint_101,10,88.0,46.0,587.2,12.385,0
endpoint_10100,16,59.0,121.0,553.6875,15.283125,0
endpoint_10101,14,251.0,133.0,796.2142857142857,17.770714285714284,0
endpoint_10103,13,178.0,136.0,461.53846153846155,14.306153846153846,0
endpoint_10104,6,67.0,88.0,861.8333333333334,26.748333333333335,0
endpoint_10105,19,172.0,144.0,1071.7368421052631,24.433684210526316,0
endpoint_10107,12,106.0,53.0,855.5833333333334,15.558333333333332,0
endpoint_10108,22,88.0,75.0,371.27272727272725,14.380454545454546,0
endpoint_10109,20,299.0,261.0,1213.9,33.896,0
endpoint_1011,5,48.0,30.0,277.6,14.803999999999998,0
endpoint_10111,37,415.0,352.0,443.8918918918919,16.86783783783784,0
endpoint_10114,12,84.0,154.0,601.5833333333334,18.4875,0
endpoint_10116,8,84.0,136.0,929.0,19.12375,0
endpoint_10117,17,149.0,214.0,502.29411764705884,19.05764705882353,0
endpoint_10118,14,91.0,186.0,457.42857142857144,16.335714285714285,0
endpoint_10119,8,79.0,42.0,784.625,5.97,0
endpoint_1012,13,171.0,78.0,1027.6923076923076,26.18,0
endpoint_10121,10,132.0,91.0,1244.9,30.403999999999996,0
endpoint_10122,5,28.0,22.0,685.6,4.422,0
endpoint_10123,20,65.0,19.0,311.35,10.086,0
endpoint_10124,27,364.0,396.0,1063.7407407407406,26.66148148148148,0
endpoint_10128,13,208.0,122.0,771.6923076923077,15.467692307692309,0
endpoint_10131,15,224.0,307.0,1218.4,35.99666666666667,0
endpoint_10133,10,127.0,85.0,759.4,22.576999999999998,0
endpoint_10134,14,18.0,17.0,21.785714285714285,1.8342857142857143,0
endpoint_10135,10,94.0,74.0,549.3,18.204,0
endpoint_10136,22,301.0,177.0,532.9090909090909,15.677727272727271,0
endpoint_10137,15,129.0,216.0,1441.2,31.45,0
endpoint_10138,11,166.0,84.0,754.9090909090909,20.866363636363637,0
endpoint_1014,10,75.0,58.0,627.8,16.369,0
endpoint_10140,14,190.0,136.0,861.8571428571429,13.453571428571431,0
endpoint_10141,14,36.0,84.0,521.6428571428571,13.730714285714285,0
endpoint_10142,8,81.0,44.0,461.25,30.6625,0
endpoint_10144,21,173.0,152.0,641.2380952380952,14.874761904761906,0
endpoint_10148,8,112.0,106.0,765.375,30.1675,0
endpoint_10149,15,223.0,141.0,847.8,22.022,0
endpoint_10150,11,114.0,116.0,873.8181818181819,17.355454545454545,0
endpoint_10151,8,98.0,53.0,880.0,27.01375,0
endpoint_10159,10,57.0,31.0,490.2,11.259,0
endpoint_1016,34,241.0,244.0,713.5294117647059,18.77794117647059,0
endpoint_10161,13,79.0,181.0,437.61538461538464,23.404615384615383,0
endpoint_10163,7,156.0,127.0,1227.7142857142858,24.231428571428573,0
endpoint_10164,9,37.0,57.0,595.6666666666666,14.637777777777778,0
endpoint_10167,42,381.0,451.0,605.5,21.56238095238095,0
endpoint_10169,10,82.0,120.0,1085.2,26.651,0
endpoint_10172,21,198.0,164.0,425.3333333333333,15.925714285714285,0
endpoint_10174,5,55.0,40.0,1575.4,28.977999999999998,0
endpoint_10179,10,106.0,59.0,898.0,21.145999999999997,0
endpoint_10182,14,115.0,173.0,830.5,28.236428571428572,0
endpoint_10184,19,179.0,203.0,570.6315789473684,16.041052631578946,0
endpoint_10186,9,68.0,200.0,861.2222222222222,33.370000000000005,0
endpoint_10189,11,113.0,141.0,501.45454545454544,14.930000000000001,0
endpoint_10193,12,59.0,96.0,504.5833333333333,13.6475,0
endpoint_10194,19,122.0,195.0,595.6315789473684,17.397368421052633,0
endpoint_10196,13,137.0,163.0,600.9230769230769,14.534615384615385,0
endpoint_10197,11,93.0,68.0,354.27272727272725,7.64,0
endpoint_10199,7,83.0,78.0,1077.142857142857,32.43714285714286,0
endpoint_102,15,104.0,78.0,173.26666666666668,8.974666666666668,0
endpoint_1020,10,54.0,47.0,461.0,5.654,0
endpoint_10202,36,324.0,347.0,569.9166666666666,19.614444444444445,0
endpoint_10204,14,77.0,150.0,618.5,21.05857142857143,0
endpoint_10206,20,172.0,192.0,660.05,11.849,0
endpoint_10208,10,69.0,48.0,1285.1,14.459,0
endpoint_10209,9,71.0,35.0,693.7777777777778,12.502222222222223,0
endpoint_10210,11,161.0,46.0,671.5454545454545,24.226363636363637,0
endpoint_10211,13,155.0,101.0,809.6153846153846,20.56,0
endpoint_10213,4,76.0,25.0,1215.5,29.275,0
endpoint_10214,7,6.0,37.0,68.85714285714286,9.322857142857144,0
endpoint_10216,20,126.0,170.0,638.0,13.8165,0
endpoint_10217,12,148.0,177.0,1255.3333333333333,37.82333333333333,0
endpoint_1022,9,50.0,64.0,955.3333333333334,19.08888888888889,0
endpoint_10221,7,75.0,35.0,768.5714285714286,20.66142857142857,0
endpoint_10226,11,104.0,84.0,366.6363636363636,26.83363636363636,0
endpoint_10227,9,90.0,50.0,501.55555555555554,19.09777777777778,0
endpoint_10228,7,85.0,75.0,433.85714285714283,19.057142857142857,0
endpoint_10229,10,84.0,69.0,835.9,25.32,0
endpoint_10231,23,169.0,123.0,425.39130434782606,10.015217391304349,0
endpoint_10233,19,209.0,277.0,754.1052631578947,23.386315789473684,0
endpoint_10235,18,151.0,36.0,526.2222222222222,12.269444444444446,0
endpoint_10236,11,294.0,151.0,1515.8181818181818,41.70727272727272,0
endpoint_10238,18,174.0,293.0,1121.9444444444443,27.608888888888888,0
endpoint_10239,12,149.0,130.0,1068.0833333333333,31.186666666666667,0
endpoint_1024,12,158.0,98.0,798.4166666666666,15.863333333333335,0
endpoint_10241,11,89.0,95.0,956.0,20.83818181818182,0
endpoint_10242,5,99.0,108.0,1602.4,50.772000000000006,0
endpoint_10243,11,59.0,35.0,368.54545454545456,9.862727272727273,0
endpoint_10245,30,249.0,282.0,721.3,17.322999999999997,0
endpoint_10246,11,224.0,113.0,926.1818181818181,23.026363636363637,0
endpoint_10247,7,0.0,0.0,0.0,0.0,0
endpoint_1025,9,41.0,30.0,201.88888888888889,6.7811111111111115,0
endpoint_10250,10,96.0,123.0,551.1,27.702999999999996,0
endpoint_10253,15,108.0,92.0,789.4666666666667,12.289333333333332,0
endpoint_10257,12,148.0,127.0,1021.1666666666666,17.646666666666665,0
endpoint_10258,7,76.0,86.0,1403.5714285714287,25.808571428571433,0
endpoint_10261,12,107.0,103.0,401.1666666666667,16.07166666666667,0
endpoint_10266,9,50.0,59.0,285.8888888888889,20.65777777777778,0
endpoint_10267,20,250.0,195.0,603.8,18.932,0
endpoint_10270,15,229.0,61.0,991.2666666666667,20.207333333333334,0
endpoint_10275,12,108.0,102.0,1002.5,19.430833333333332,0
endpoint_10276,5,0.0,0.0,0.0,0.0,0
endpoint_10277,11,165.0,188.0,1199.3636363636363,39.42,0
endpoint_10278,8,37.0,51.0,348.125,6.63625,0
endpoint_10279,13,159.0,120.0,680.8461538461538,22.86230769230769,0
endpoint_10280,11,213.0,179.0,1036.0,24.285454545454545,0
endpoint_10281,6,0.0,0.0,0.0,0.0,0
endpoint_10282,15,150.0,211.0,656.9333333333333,23.030666666666665,0
endpoint_10285,27,192.0,156.0,488.74074074074076,13.195555555555556,0
endpoint_10288,10,66.0,42.0,665.3,18.925,0
endpoint_1029,10,132.0,149.0,799.7,25.275,0
endpoint_10290,12,71.0,35.0,371.8333333333333,9.580833333333333,0
endpoint_10291,10,34.0,41.0,582.6,16.041999999999998,0
endpoint_10292,11,76.0,101.0,1095.2727272727273,27.04272727272727,0
endpoint_10295,10,96.0,64.0,694.9,14.273000000000001,0
endpoint_10297,22,314.0,204.0,998.7727272727273,33.662727272727274,0
endpoint_10298,35,284.0,320.0,687.0571428571428,18.77257142857143,0
endpoint_103,25,286.0,300.0,719.6,23.5192,0
endpoint_1030,16,155.0,172.0,892.1875,28.07625,0
endpoint_10300,9,95.0,101.0,134.66666666666666,18.793333333333333,0
endpoint_10302,15,117.0,116.0,514.0,15.818,0
endpoint_10304,24,163.0,255.0,557.4583333333334,16.80375,0
endpoint_10306,15,104.0,77.0,289.46666666666664,11.643333333333333,0
endpoint_10308,15,119.0,107.0,544.6,21.887999999999998,0
endpoint_1031,16,154.0,133.0,504.1875,13.9525,0
endpoint_10311,10,61.0,67.0,469.3,10.833000000000002,0
endpoint_10312,7,12.0,17.0,105.85714285714286,12.742857142857144,0
endpoint_10314,17,278.0,191.0,1065.4705882352941,25.06352941176471,0
endpoint_10318,13,70.0,47.0,229.3846153846154,8.124615384615385,0
endpoint_10319,10,61.0,44.0,373.0,12.623999999999999,0
endpoint_10321,13,89.0,85.0,650.9230769230769,10.838461538461539,0
endpoint_10322,20,93.0,87.0,338.5,9.225,0
endpoint_10323,8,105.0,114.0,1105.75,37.620000000000005,0
endpoint_10324,14,163.0,85.0,651.5,13.42357142857143,0
endpoint_10326,13,107.0,150.0,758.6153846153846,22.637692307692305,0
endpoint_10327,23,172.0,143.0,473.04347826086956,17.917391304347824,0
endpoint_10329,12,187.0,83.0,928.25,22.00833333333333,0
endpoint_10330,8,65.0,48.0,444.25,5.9350000000000005,0
endpoint_10333,10,89.0,68.0,881.9,21.797,0
endpoint_10334,15,112.0,89.0,523.8,15.211333333333332,0
endpoint_10335,6,40.0,41.0,116.5,14.5,0
endpoint_10338,12,181.0,91.0,925.0,29.247500000000002,0
endpoint_1034,10,281.0,201.0,1487.6,32.444,0
endpoint_10341,30,234.0,336.0,546.0666666666667,20.002,0
endpoint_10342,16,145.0,140.0,733.125,18.486875,0
endpoint_10345,8,73.0,36.0,508.5,13.541250000000002,0
endpoint_10346,3,2.0,23.0,890.0,23.69333333333333,0
endpoint_10347,17,128.0,120.0,780.1176470588235,26.94235294117647,0
endpoint_10348,19,159.0,154.0,445.3157894736842,16.31105263157895,0
endpoint_10349,21,173.0,181.0,1026.142857142857,23.434285714285714,0
endpoint_1035,9,51.0,83.0,583.7777777777778,16.84777777777778,0
endpoint_10351,7,72.0,29.0,597.4285714285714,25.354285714285712,0
endpoint_10353,12,42.0,19.0,173.08333333333334,5.483333333333333,0
endpoint_10354,9,101.0,68.0,362.55555555555554,13.787777777777778,0
endpoint_10355,18,279.0,194.0,1231.0555555555557,29.325000000000003,0
endpoint_10357,15,129.0,131.0,945.6666666666666,26.29866666666667,0
endpoint_10358,25,231.0,149.0,714.12,23.084,0
endpoint_1036,26,318.0,226.0,1159.6153846153845,28.04692307692308,0
endpoint_10361,7,62.0,64.0,584.0,3.614285714285714,0
endpoint_10366,11,93.0,121.0,816.5454545454545,24.284545454545455,0
endpoint_10367,10,211.0,161.0,716.8,28.867,0
endpoint_10368,14,189.0,113.0,1224.5,21.822142857142858,0
endpoint_1037,17,73.0,134.0,529.8235294117648,16.798823529411763,0
endpoint_10371,27,199.0,230.0,706.2222222222222,15.94111111111111,0
endpoint_10374,11,50.0,82.0,625.0,16.734545454545454,0
endpoint_10376,32,253.0,276.0,740.1875,18.003125,0
endpoint_10377,14,112.0,151.0,1035.7142857142858,14.808571428571428,0
endpoint_10378,14,30.0,14.0,38.57142857142857,4.590714285714285,0
endpoint_10388,10,76.0,133.0,506.3,23.951,0
endpoint_10389,23,175.0,245.0,866.0434782608696,22.076521739130435,0
endpoint_1039,23,293.0,287.0,1372.8260869565217,32.15782608695652,0
endpoint_10393,13,70.0,91.0,94.46153846153847,13.872307692307693,0
endpoint_10394,10,66.0,65.0,493.4,22.226,0
endpoint_10395,6,42.0,110.0,1066.8333333333333,31.69666666666667,0
endpoint_10397,11,43.0,87.0,582.3636363636364,25.275454545454547,0
endpoint_10398,16,201.0,187.0,831.5,20.529375,0
endpoint_10399,12,133.0,106.0,432.25,15.849166666666667,0
